id,name,apiName,category,effect,target,status,reason
635,Savage Spin Out  Special,savage-spin-out--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
636,Never Ending Nightmare  Physical,never-ending-nightmare--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
637,Never Ending Nightmare  Special,never-ending-nightmare--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
638,Corkscrew Crash  Physical,corkscrew-crash--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
639,Corkscrew Crash  Special,corkscrew-crash--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
640,Inferno Overdrive  Physical,inferno-overdrive--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
641,Inferno Overdrive  Special,inferno-overdrive--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
642,Hydro Vortex  Physical,hydro-vortex--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
643,Hydro Vortex  Special,hydro-vortex--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
644,Bloom Doom  Physical,bloom-doom--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
645,Bloom Doom  Special,bloom-doom--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
646,Gigavolt Havoc  Physical,gigavolt-havoc--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
647,Gigavolt Havoc  Special,gigavolt-havoc--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
648,Shattered Psyche  Physical,shattered-psyche--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
649,Shattered Psyche  Special,shattered-psyche--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
650,Subzero Slammer  Physical,subzero-slammer--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
651,Subzero Slammer  Special,subzero-slammer--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
652,Devastating Drake  Physical,devastating-drake--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
653,Devastating Drake  Special,devastating-drake--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
654,Black Hole Eclipse  Physical,black-hole-eclipse--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
655,Black Hole Eclipse  Special,black-hole-eclipse--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
656,Twinkle Tackle  Physical,twinkle-tackle--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
657,Twinkle Tackle  Special,twinkle-tackle--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
658,Catastropika,catastropika,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
659,Shore Up,shore-up,status,None,user,todo,no explicit mechanic handler
660,First Impression,first-impression,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
661,Baneful Bunker,baneful-bunker,status,None,user,todo,no explicit mechanic handler
662,Spirit Shackle,spirit-shackle,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
663,Darkest Lariat,darkest-lariat,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
664,Sparkling Aria,sparkling-aria,special,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
665,Ice Hammer,ice-hammer,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
666,Floral Healing,floral-healing,status,None,selected-pokemon,todo,no explicit mechanic handler
667,High Horsepower,high-horsepower,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
668,Strength Sap,strength-sap,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
669,Solar Blade,solar-blade,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
670,Leafage,leafage,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
671,Spotlight,spotlight,status,None,selected-pokemon,todo,no explicit mechanic handler
672,Toxic Thread,toxic-thread,status,Poison,selected-pokemon,implemented,effect handler present: poison
673,Laser Focus,laser-focus,status,None,user,todo,no explicit mechanic handler
674,Gear Up,gear-up,status,StatChange,user-and-allies,partial,multi-target semantic may differ in singles-first mode
675,Throat Chop,throat-chop,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
676,Pollen Puff,pollen-puff,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
677,Anchor Shot,anchor-shot,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
678,Psychic Terrain,psychic-terrain,status,None,entire-field,todo,no explicit mechanic handler
679,Lunge,lunge,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
680,Fire Lash,fire-lash,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
681,Power Trip,power-trip,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
682,Burn Up,burn-up,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
683,Speed Swap,speed-swap,status,None,selected-pokemon,todo,no explicit mechanic handler
684,Smart Strike,smart-strike,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
685,Purify,purify,status,None,selected-pokemon,todo,no explicit mechanic handler
686,Revelation Dance,revelation-dance,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
687,Core Enforcer,core-enforcer,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
688,Trop Kick,trop-kick,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
689,Instruct,instruct,status,None,selected-pokemon,todo,no explicit mechanic handler
690,Beak Blast,beak-blast,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
691,Clanging Scales,clanging-scales,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
692,Dragon Hammer,dragon-hammer,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
693,Brutal Swing,brutal-swing,physical,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
694,Aurora Veil,aurora-veil,status,None,users-field,todo,no explicit mechanic handler
695,Sinister Arrow Raid,sinister-arrow-raid,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
696,Malicious Moonsault,malicious-moonsault,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
697,Oceanic Operetta,oceanic-operetta,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
698,Guardian Of Alola,guardian-of-alola,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
699,Soul Stealing 7 Star Strike,soul-stealing-7-star-strike,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
700,Stoked Sparksurfer,stoked-sparksurfer,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
701,Pulverizing Pancake,pulverizing-pancake,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
702,Extreme Evoboost,extreme-evoboost,status,StatChange,user,implemented,effect handler present: statchange
703,Genesis Supernova,genesis-supernova,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
704,Shell Trap,shell-trap,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
705,Fleur Cannon,fleur-cannon,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
706,Psychic Fangs,psychic-fangs,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
707,Stomping Tantrum,stomping-tantrum,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
708,Shadow Bone,shadow-bone,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
709,Accelerock,accelerock,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
710,Liquidation,liquidation,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
711,Prismatic Laser,prismatic-laser,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
712,Spectral Thief,spectral-thief,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
713,Sunsteel Strike,sunsteel-strike,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
714,Moongeist Beam,moongeist-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
715,Tearful Look,tearful-look,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
716,Zing Zap,zing-zap,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
717,Natures Madness,natures-madness,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
718,Multi Attack,multi-attack,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
719,10 000 000 Volt Thunderbolt,10-000-000-volt-thunderbolt,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
720,Mind Blown,mind-blown,special,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
721,Plasma Fists,plasma-fists,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
722,Photon Geyser,photon-geyser,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
723,Light That Burns The Sky,light-that-burns-the-sky,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
724,Searing Sunraze Smash,searing-sunraze-smash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
725,Menacing Moonraze Maelstrom,menacing-moonraze-maelstrom,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
726,Lets Snuggle Forever,lets-snuggle-forever,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
727,Splintered Stormshards,splintered-stormshards,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
728,Clangorous Soulblaze,clangorous-soulblaze,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
729,Zippy Zap,zippy-zap,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
730,Splishy Splash,splishy-splash,special,Paralyze,all-opponents,partial,multi-target semantic may differ in singles-first mode
731,Floaty Fall,floaty-fall,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
732,Pika Papow,pika-papow,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
733,Bouncy Bubble,bouncy-bubble,special,Drain,selected-pokemon,implemented,effect handler present: drain
734,Buzzy Buzz,buzzy-buzz,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
735,Sizzly Slide,sizzly-slide,physical,Burn,selected-pokemon,implemented,effect handler present: burn
736,Glitzy Glow,glitzy-glow,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
737,Baddy Bad,baddy-bad,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
738,Sappy Seed,sappy-seed,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
739,Freezy Frost,freezy-frost,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
740,Sparkly Swirl,sparkly-swirl,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
741,Veevee Volley,veevee-volley,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
742,Double Iron Bash,double-iron-bash,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
743,Max Guard,max-guard,status,None,user,todo,no explicit mechanic handler
744,Dynamax Cannon,dynamax-cannon,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
745,Snipe Shot,snipe-shot,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
746,Jaw Lock,jaw-lock,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
747,Stuff Cheeks,stuff-cheeks,status,StatChange,user,implemented,effect handler present: statchange
748,No Retreat,no-retreat,status,StatChange,user,implemented,effect handler present: statchange
749,Tar Shot,tar-shot,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
750,Magic Powder,magic-powder,status,None,selected-pokemon,todo,no explicit mechanic handler
751,Dragon Darts,dragon-darts,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
752,Teatime,teatime,status,None,all-pokemon,todo,no explicit mechanic handler
753,Octolock,octolock,status,None,selected-pokemon,todo,no explicit mechanic handler
754,Bolt Beak,bolt-beak,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
755,Fishious Rend,fishious-rend,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
756,Court Change,court-change,status,None,entire-field,todo,no explicit mechanic handler
757,Max Flare,max-flare,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
758,Max Flutterby,max-flutterby,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
759,Max Lightning,max-lightning,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
760,Max Strike,max-strike,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
761,Max Knuckle,max-knuckle,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
762,Max Phantasm,max-phantasm,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
763,Max Hailstorm,max-hailstorm,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
764,Max Ooze,max-ooze,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
765,Max Geyser,max-geyser,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
766,Max Airstream,max-airstream,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
767,Max Starfall,max-starfall,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
768,Max Wyrmwind,max-wyrmwind,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
769,Max Mindstorm,max-mindstorm,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
770,Max Rockfall,max-rockfall,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
771,Max Quake,max-quake,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
772,Max Darkness,max-darkness,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
773,Max Overgrowth,max-overgrowth,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
774,Max Steelspike,max-steelspike,physical,None,selected-pokemon-me-first,partial,base damage path likely works; special mechanic not confirmed
775,Clangorous Soul,clangorous-soul,status,StatChange,user,implemented,effect handler present: statchange
776,Body Press,body-press,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
777,Decorate,decorate,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
778,Drum Beating,drum-beating,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
779,Snap Trap,snap-trap,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
780,Pyro Ball,pyro-ball,physical,Burn,selected-pokemon,implemented,effect handler present: burn
781,Behemoth Blade,behemoth-blade,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
782,Behemoth Bash,behemoth-bash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
783,Aura Wheel,aura-wheel,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
784,Breaking Swipe,breaking-swipe,physical,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
785,Branch Poke,branch-poke,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
786,Overdrive,overdrive,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
787,Apple Acid,apple-acid,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
788,Grav Apple,grav-apple,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
789,Spirit Break,spirit-break,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
790,Strange Steam,strange-steam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
791,Life Dew,life-dew,status,None,user-and-allies,todo,no explicit mechanic handler
792,Obstruct,obstruct,status,None,user,todo,no explicit mechanic handler
793,False Surrender,false-surrender,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
794,Meteor Assault,meteor-assault,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
795,Eternabeam,eternabeam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
796,Steel Beam,steel-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
797,Expanding Force,expanding-force,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
798,Steel Roller,steel-roller,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
799,Scale Shot,scale-shot,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
800,Meteor Beam,meteor-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
801,Shell Side Arm,shell-side-arm,special,Poison,selected-pokemon,implemented,effect handler present: poison
802,Misty Explosion,misty-explosion,special,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
803,Grassy Glide,grassy-glide,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
804,Rising Voltage,rising-voltage,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
805,Terrain Pulse,terrain-pulse,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
806,Skitter Smack,skitter-smack,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
807,Burning Jealousy,burning-jealousy,special,Burn,all-opponents,partial,multi-target semantic may differ in singles-first mode
808,Lash Out,lash-out,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
809,Poltergeist,poltergeist,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
810,Corrosive Gas,corrosive-gas,status,None,all-other-pokemon,todo,no explicit mechanic handler
811,Coaching,coaching,status,StatChange,user-and-allies,partial,multi-target semantic may differ in singles-first mode
812,Flip Turn,flip-turn,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
813,Triple Axel,triple-axel,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
814,Dual Wingbeat,dual-wingbeat,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
815,Scorching Sands,scorching-sands,special,Burn,selected-pokemon,implemented,effect handler present: burn
816,Jungle Healing,jungle-healing,status,None,user-and-allies,todo,no explicit mechanic handler
817,Wicked Blow,wicked-blow,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
818,Surging Strikes,surging-strikes,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
819,Thunder Cage,thunder-cage,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
820,Dragon Energy,dragon-energy,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
821,Freezing Glare,freezing-glare,special,Freeze,selected-pokemon,implemented,effect handler present: freeze
822,Fiery Wrath,fiery-wrath,special,Flinch,all-opponents,partial,multi-target semantic may differ in singles-first mode
823,Thunderous Kick,thunderous-kick,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
824,Glacial Lance,glacial-lance,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
825,Astral Barrage,astral-barrage,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
826,Eerie Spell,eerie-spell,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
827,Dire Claw,dire-claw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
828,Psyshield Bash,psyshield-bash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
829,Power Shift,power-shift,status,None,user,todo,no explicit mechanic handler
830,Stone Axe,stone-axe,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
831,Springtide Storm,springtide-storm,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
832,Mystical Power,mystical-power,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
833,Raging Fury,raging-fury,physical,None,random-opponent,partial,base damage path likely works; special mechanic not confirmed
834,Wave Crash,wave-crash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
835,Chloroblast,chloroblast,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
836,Mountain Gale,mountain-gale,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
837,Victory Dance,victory-dance,status,None,user,todo,no explicit mechanic handler
838,Headlong Rush,headlong-rush,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
839,Barb Barrage,barb-barrage,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
840,Esper Wing,esper-wing,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
841,Bitter Malice,bitter-malice,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
842,Shelter,shelter,status,None,user,todo,no explicit mechanic handler
843,Triple Arrows,triple-arrows,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
844,Infernal Parade,infernal-parade,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
845,Ceaseless Edge,ceaseless-edge,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
846,Bleakwind Storm,bleakwind-storm,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
847,Wildbolt Storm,wildbolt-storm,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
848,Sandsear Storm,sandsear-storm,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
849,Lunar Blessing,lunar-blessing,status,None,all-allies,todo,no explicit mechanic handler
850,Take Heart,take-heart,status,None,all-allies,todo,no explicit mechanic handler
851,Tera Blast,tera-blast,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
852,Silk Trap,silk-trap,status,StatChange,user,implemented,effect handler present: statchange
853,Axe Kick,axe-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
854,Last Respects,last-respects,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
855,Lumina Crash,lumina-crash,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
856,Order Up,order-up,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
857,Jet Punch,jet-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
858,Spicy Extract,spicy-extract,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
859,Spin Out,spin-out,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
860,Population Bomb,population-bomb,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
861,Ice Spinner,ice-spinner,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
862,Glaive Rush,glaive-rush,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
863,Revival Blessing,revival-blessing,status,None,fainting-pokemon,todo,no explicit mechanic handler
864,Salt Cure,salt-cure,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
865,Triple Dive,triple-dive,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
866,Mortal Spin,mortal-spin,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
867,Doodle,doodle,status,None,selected-pokemon,todo,no explicit mechanic handler
868,Fillet Away,fillet-away,status,StatChange,user,implemented,effect handler present: statchange
869,Kowtow Cleave,kowtow-cleave,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
870,Flower Trick,flower-trick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
871,Torch Song,torch-song,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
872,Aqua Step,aqua-step,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
873,Raging Bull,raging-bull,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
874,Make It Rain,make-it-rain,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
875,Psyblade,psyblade,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
876,Hydro Steam,hydro-steam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
877,Ruination,ruination,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
878,Collision Course,collision-course,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
879,Electro Drift,electro-drift,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
880,Shed Tail,shed-tail,status,None,user,todo,no explicit mechanic handler
881,Chilly Reception,chilly-reception,status,None,entire-field,todo,no explicit mechanic handler
882,Tidy Up,tidy-up,status,StatChange,user,implemented,effect handler present: statchange
883,Snowscape,snowscape,status,None,entire-field,todo,no explicit mechanic handler
884,Pounce,pounce,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
885,Trailblaze,trailblaze,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
886,Chilling Water,chilling-water,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
887,Hyper Drill,hyper-drill,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
888,Twin Beam,twin-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
889,Rage Fist,rage-fist,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
890,Armor Cannon,armor-cannon,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
891,Bitter Blade,bitter-blade,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
892,Double Shock,double-shock,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
893,Gigaton Hammer,gigaton-hammer,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
894,Comeuppance,comeuppance,physical,None,specific-move,partial,base damage path likely works; special mechanic not confirmed
895,Aqua Cutter,aqua-cutter,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
896,Blazing Torque,blazing-torque,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
897,Wicked Torque,wicked-torque,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
898,Noxious Torque,noxious-torque,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
899,Combat Torque,combat-torque,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
900,Magical Torque,magical-torque,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
901,Blood Moon,blood-moon,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
902,Matcha Gotcha,matcha-gotcha,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
903,Syrup Bomb,syrup-bomb,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
904,Ivy Cudgel,ivy-cudgel,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
905,Electro Shot,electro-shot,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
906,Tera Starstorm,tera-starstorm,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
907,Fickle Beam,fickle-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
908,Burning Bulwark,burning-bulwark,status,None,user,todo,no explicit mechanic handler
909,Thunderclap,thunderclap,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
910,Mighty Cleave,mighty-cleave,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
911,Tachyon Cutter,tachyon-cutter,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
912,Hard Press,hard-press,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
913,Dragon Cheer,dragon-cheer,status,None,all-allies,todo,no explicit mechanic handler
914,Alluring Voice,alluring-voice,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
